AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
FMSC651 |<i> Prerequisite: FMSC/FMST650. Limited to students admitted to the family therapy program. Credit will be granted for only one of the following: FMSC651 or FMST651. Formerly FMST651. </i> Diagnosis and treatment of psychopathology within the family context, with application of various family therapy models.| |Psychopathology in the Family Context| REG/AUD 3 (PermReq) 
FMSC653 |<i> Prerequisite: FMSC/FMST652. Limited to students admitted to the family therapy program. Credit will be granted for only one of the following: FMSC653 or FMST653. Formerly FMSC653. </i> Advanced application and integration of family therapy skills and theoretical models in the practice of marriage and family therapy. Emphasis on treatment plans from different therapeutic models demonstrated in case presentations and supervision of therapy.| |Advanced Application of MFT Models and Techniques| REG/AUD 3 (PermReq) 
FMSC689  |Independent Study| REG/AUD 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FMSC698 |Must have written permission of faculty member and chairperson.| |Advanced Topics in Family Science| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FMSC699  |Independent Study| REG/AUD 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FMSC700 |<i> Prerequisite: FMSC610 or equivalent; and EDMS646. Formerly: FMST698R (Spring 2007) and FMSC698R (Spring 2008). </i> Optimal use of various designs, statistical methods and procedures in behavioral research in families.| |Application of Advanced Quantitative Methods in Family Research| REG/AUD 3  
FMSC730 |<i> Prerequisite: permission of instructor. </i> Overview of major public health problems during the adult and elderly years, including cigarette smoking, obesity, physical inactivity, substance abuse, risky sexual behavior, cardiovascular disease, cancer, diabetes, osteoporosis, and HIV/AIDS. Examination of life course research, prevention, and intervention programs, and public information campaigns.| |Maternal and Family Health in Adulthood and Aging| REG/AUD 3  
FMSC745 |<i> Credit will be granted for only one of the following: FMSC745 or FMST745. Formerly FMST745. </i> Major critiques of sources of racial, cultural, and gender bias in marital and family therapy and family service delivery.  Addresses these issues in program development and clinical practice.| |Gender and Ethnicity in Family Therapy and Service Delivery| REG/AUD 3 (PermReq) 
FMSC789  |Non-Thesis Research| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FMSC799 |Must have written permission of faculty member and chairperson.| |Master's Thesis Research| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FMSC810 |<i> Prerequisite: permission of instructor. Credit will be granted for only one of the following: FMSC810, FMST698P, or FMST810. Formerly FMST810. </i> Theory and research on family interaction and family coping with normative health and mental health transitins and non-normative crises across the family life cycle. Micro-analysis of family process in communication, decision-making, problem-solving, and compliance to health regimens. Examination of dysfunctional patterns and effective coping strategies.| |Theory in Family Systems and Family Health| REG/AUD 3  
FMSC898  |Pre-Candidacy Research| REG/S-F 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
FMSC899  |Doctoral Dissertation Research| REG/S-F 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FOLA386 |<i> Prerequisite: permission of department. Junior standing. </i>| |Experiential Learning| REG/P-F 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FREN103 |<i> Prerequisite: Appropriate Foreign Language Placement Testing (FLPT) score. Not open to students who (1) have completed FREN101 and FREN102, (2) placed in higher level course because of FLPT, or (3) are heritage/native speakers of French. Credit will be granted for only one of the following: FREN102 or FREN103. </i> Covers speaking, reading, writing, listening, and culture of French-speaking world. Limited to students according to conditions described in the "Foreign Language Placement" section in this schedule.| |Intensive Elementary French| REG/P-F/AUD 4  
FREN203 |<i> Prerequisite: FREN103 or equivalent. Not open to students who have completed FREN201, four years of high school French, or to fluent/native speakers of French. Credit will be granted for only one of the following: FREN201, FREN202 or FREN203. Formerly FREN202. </i> Covers speaking, reading, writing, listening, and culture of French-speaking world.| |Intensive Intermediate French| REG/P-F/AUD 4  |CORE Humanities (HO) Course.|
FREN204 |<i> Prerequisite: FREN201 or FREN203. Open to students who have completed 4 years (Level 4) of high school French. Not open to native/fluent speakers of French. </i> Intensive study of French grammar and composition.| |French Grammar and Composition| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
FREN240 |Major works of French literature from pre-revolutionary France to the present. Emphasis on the individual in a social context. Taught in English.| |Masterworks of French Literature in Translation| REG/P-F/AUD 3  |CORE Literature (HL) Course.|
FREN250 |<i> Not open to native/fluent speakers of French. Prerequisite: FREN204 or equivalent. Recommended: FREN211. Also offered as FREN250H. Credit will be granted for only one of the following: FREN250 or FREN250H. </i> Introduction to cultural and textual analysis of selected readings from various genres in French literature. Taught in French. Also offered as FREN250H.| |Introduction to Cultural and Textual Analysis| REG/P-F/AUD 3  |CORE Literature (HL) Course.|
FREN250H |<i> Not open to native/fluent speakers of French. Prerequisite: FREN204 or equivalent. Recommended: FREN211. Also offered as FREN250H. Credit will be granted for only one of the following: FREN250 or FREN250H. </i> For general honors students only. Also offered as FREN250.| |Introduction to Cultural and Textual Analysis| REG/P-F/AUD 3  |CORE Literature (HL) Course.|
FREN301 |<i> Not open to native or fluent speakers of French. Prerequisite: FREN250 or equivalent. </i> Grammatical analysis, elements of style; range of written genres.| |Composition and Style| REG/P-F/AUD 3  
FREN303 |<i> Prerequisite: FREN301 or equivalent. </i> Practicum in translation primarily from English to French; contrastive analysis.| |Translation: English to French| REG/P-F/AUD 3  
FREN311 |<i> Not open to fluent/native speakers of French. Prerequisite: FREN250 or equivalent. Recommended: FREN211. </i> Linguistic and thematic analysis of written, audio, and visual texts. Focus on aural and oral skills. Some written assignments and evaluation.| |Advanced Oral Expression| REG/P-F/AUD 3  
FREN352 |<i> Prerequisite: FREN301 or equivalent. </i> A survey of the chief authors and major movements of French literature from the Middle Ages to the end of the 18th century. Also offered as FREN352H.| |From the Age of Epic and Romance to the Enlightenment| REG/P-F/AUD 3  
FREN352H |<i> Prerequisite: FREN301 or equivalent. </i> For general honors students only. Also offered as FREN352.| |From the Age of Epic and Romance to the Enlightenment| REG/P-F/AUD 3  
FREN386 |<i> Prerequisite: permission of department. Junior standing. </i>| |Experiential Learning| REG/P-F 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FREN399 |Supervised work under professor of student's choice with permission of instructor. Contact department for details.| |Directed Study in French| REG 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FREN401 |<i> Prerequisite: FREN301 or permission of department. </i> Advanced composition and stylistic analysis.| |Writing with Style| REG/P-F/AUD 3  
FREN495 |<i> Open only to students admitted to the departmental honors program. </i> The writing of a paper under the direction of a professor in this department and an oral examination. Required to fulfill the departmental honors requirement.| |Honors Thesis Research| REG/P-F/AUD 3  |Individual Instruction course: contact department or instructor to obtain section number.|
FREN495H |<i> Open only to students admitted to the departmental honors program. </i>| |Honors Thesis Research| REG/P-F/AUD 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FREN798  |Master's Independent Study| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FREN799  |Master's Thesis Research| REG 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
FREN889  |Doctoral Independent Study| REG/AUD 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
FREN898  |Pre-Candidacy Research| REG 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
FREN899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEMS102 |<i> Restricted to Gemstone students only. </i> Under the guidance of staff and visiting speakers, students will develop research topics that they will pursue for the remainder of their participation in the Gemstone program, and form into interdisciplinary teams around these topics.| |Research Topic Exploration and Team Formation| REG 1  
GEMS104 |<i> Prerequisite: GEMS100. Corequisite: GEMS102 Restricted to Gemstone students only. </i> An examination of how cultural, economic, political and social forces shape scientific and technological systems and, conversely, how scientific and technological systems have affected the culture, economies, organization and politics of societies. Students in the course will form small teams to carry out semester-long research on socio/technical topics related to the course theme chosen for that specific semester.| |Topics in Science, Technology and Society (STS)| REG/AUD 3  |CORE Interdisciplinary & Emerging Issues (IE) Course.|
GEMS297 |<i> Prerequisite: For Gemstone students with sophomore standing in a research team. </i> This is the second of six seminars during which Gemstone students carry out interdisciplinary research with the guidance of a faculty mentor. The team develops its website, prepares and presents its research proposal. Restricted to Gemstone Students.| |Team Project Seminar II| REG 2  
GEMS397 |<i> Prerequisite: GEMS396; For Gemstone students with junior standing in a research team. </i> This is the fourth of six seminars during which Gemstone students carry out interdisciplinary research with the guidance of a faculty mentor. The team further develops its website. Also they will prepare and present the team project in the poster session of Undergraduate Research Day. Restricted to Gemstone Students.| |Team Project Seminar IV| REG 2  
GEMS497 |<i> Prerequisite: GEMS496. For Gemstone participants only. </i> Gemstone teams will complete the team research project and thesis. The team will formally present the thesis to experts in the area of interest at a Team Thesis Conference before final submission. Restricted to Gemstone Students.| |Team Thesis Defense| REG 2  
GEOG123 |<i> Also offered as AOSC123 and GEOL123. Credit will be granted for only one of the following: AOSC123, GEOG123, GEOL123, or METO123. </i> A unique experience in integrating physical, chemical, geological, and biological sciences with geographical, economic, sociological, and political knowledge skills toward a better understanding of global change.  Review of environmental science relating to weather and climate change, acid precipitation, ozone holes, global warming, and impacts on biology, agriculture, and human behavior.  Study of the natural, long- term variability of the global environment, and what influence mankind may have in perturbing it from its natural evolution.  Concepts of how physical, biological, and human behavioral systems interact, and the repercussions which may follow human endeavors. The manner in which to approach decision and policy making related to global change.| |Causes and Implications of Global Change| REG/P-F/AUD 3  |CORE Physical Science (PS) Course.|
GEOG170 |An exploration of ways in which maps are produced, including how data are gathered using remote sensing, how data are analyzed in geographic information systems, and how data are presented in cartographic form. Development of skills in map reading, data interpretation and analysis, environmental analysis, and user-oriented presentations.| |Maps and Map Use| REG/P-F/AUD 3  |CORE Mathematics or Formal Reasoning (MS) Course.|
GEOG212 |<i> Pre- or corequisite: GEOG202. For GEOG majors only. </i> Introduction to the basic methods and techniques employed in human geography.| |Introduction to Human Geography Laboratory| REG/P-F/AUD 1 (PermReq) 
GEOG306 |<i> Also offered as GEOG398Q. Credit will be granted for only one of the following: GEOG398Q or GEOG306. Formerly GEOG398Q. </i> Essentials in the quantitative analysis of spatial and other data, with a particular emphasis on statistics and programming. Topics include data display, data description and summary, statistical inference and significance tests, analysis of variance, correlation, regression, and some advanced concepts, such as matrix methods, principal component analysis, and spatial statistics. Students will develop expertise in data analysis using advanced statistical software. Students must pay a $40.00 lab fee.| |Introduction to Quantitative Methods for the Geographic     Environmental Sciences| REG/P-F/AUD 3  
GEOG340 |Survey of landform types and role of processes in their generation. Frequency of occurrence and implications for land utilization. Emphasis on coastal, fluvial, and glacial landforms in different environmental settings. Landform regions of Maryland.| Geomorphology REG/P-F/AUD 3  
GEOG342 |<i> Prerequisite: GEOG201. Recommended: GEOG211. Credit will be granted for only one of the following: GEOG342 or GEOG347. Formerly GEOG347. </i> The principles of biogeography, including the patterns, processes and distributions of living organisms from local to global scales, aspects of ecophysiology, population and community ecology and evolutionary biology. Spatial processes in the biosphere will be covered.| |Introduction to Biogeography| REG/P-F/AUD 3  
GEOG372 |Principles of remote sensing in relation to photographic, thermal infrared and radar imaging. Methods of obtaining quantitative information from remotely-sensed images. Interpretation of remotely-sensed images emphasizing the study of spatial and environmental relationships. Students must pay a $40.00 lab fee.| |Remote Sensing| REG/P-F/AUD 3  
GEOG384 |<i> Only GEOG384 will count toward the major requirement. Prerequisite: GEOG201/211, GEOG212, GEOG306 and (ENGL391 or ENGL393). For GEOG majors only. </i> Supervised field training to provide career experience. Introduction to professional level activities, demands, opportunities. Placement at a public agency, non-profit organization, or private firm. Participation requires application to the internship advisor in preceding semester.| |Internship in Geography I| REG/P-F 3 (PermReq) 
GEOG384H |<i> Only GEOG384 will count toward the major requirement. Prerequisite: GEOG201/211, GEOG212, GEOG306 and (ENGL391 or ENGL393). For GEOG majors only. </i>| |Internship in Geography I| REG/P-F 3  
GEOG385 |<i> Only GEOG384 will count toward the major requirement. GEOG385 will count toward university requirements. Prerequisite: GEOG201, GEOG211, GEOG212, GEOG306 and Junior English. For GEOG majors only. </i> Supervised field training to provide career experience. Introduction to professional-level activities, demands, opportunities. Placement at a public agency, nonprofit organization, or private firm. Participation requires application to the internship advisor in preceding semester.| |Internship in Geography II| REG/P-F/AUD 3 (PermReq) 
GEOG385H |<i> Only GEOG384 will count toward the major requirement. GEOG385 will count toward university requirements. Prerequisite: GEOG201, GEOG211, GEOG212, GEOG306 and Junior English. For GEOG majors only. </i>| |Internship in Geography II| REG/P-F/AUD 3  
GEOG396 |<i> Prerequisite: permission of department. Senior standing. For GEOG majors only. Formerly GEOG397. </i> First course in the departmental honors sequence. Student development of a potential research topic under the guidance of a faculty advisor, culminating in a written and oral presentation of a research proposal.| |Honors Research| REG/P-F/AUD 3  
GEOG397 |<i> Prerequisite: GEOG396. Senior standing. For GEOG majors only. Formerly GEOG399. </i> Second course in the departmental honors sequence. Student research under the auspices of a faculty advisor, culminating in a research paper to be defended orally before the geography honors committee.| |Honors Thesis| REG/P-F/AUD 3  
GEOG398  |Special Topics in Geography| REG/P-F/AUD 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG410 |<i> Credit will be granted for only one of the following: GEOG410 or GEOG454. Formerly GEOG454. </i> Development of the Washington, D.C. area from its origin as the Federal Capital to its role as a major metropolitan area. The geographic setting, the L'Enfant Plan and its modification, the federal government role, residential and commercial structure. The growth of Washington's suburbs. This course is disgned as a field study of Washington, D.C. from its origin as the Federal Capital to its role in development of the metropolitan area. Through lectures and extensive field trips we will focus on the symbiosis and interrelation of Washington DC and its \egion: historical, socio-economic, spatial and environmental.| |Washington, D.C.: Past and Present| REG/P-F/AUD 3  
GEOG415 |<i> Prerequisite: GEOG123, GEOG306, or permission of department. Recommended: GEOG201/211, GEOG340, GEOG342, or GEOG331. Credit will be granted for only one of the following: GEOG415 or GEOG498D. Formerly GEOG498D. </i> The issues of climate change and land use change as two interlinked global and regional environmental issues and their implications for society and resource use are explored.| |Land Use, Climate Change, and Sustainability| REG/P-F/AUD 3  
GEOG435 |<i> Credit will be granted for only one of the following: GEOG422 or GEOG435. Formerly GEOG422. </i> The spatial characteristics of population distribution and growth, migration, fertility and mortality from a global perspective. Basic population-environmental relationships; carrying capacity, density, relationships to national development.| |Population Geography| REG/P-F/AUD 3  
GEOG441 |<i> Prerequisite: GEOG140 or equivalent; or permission of department. Recommended: GEOG201 and GEOG211. Credit will be granted for only one of the following: GEOG441 or GEOG498C. Formerly GEOG498C. </i> Introduction to coastal oceanography, focusing on the physical, biological, and geological aspects of ocean areqs on the inner continental shelves. Wave, currents, and tidal dynamics of bays, open coast, estuaries, and deltas. Sedimentary environments of major coastal types. Ecology and biogeochemical relationships, including benthic and planktonic characteristics. Coastal evolution with sea level rise. Human impacts: eutrophication, modification of sedimentation. The coastal future: rising sea level, hypoxia, and increased storminess.| |The Coastal Ocean| REG/P-F/AUD 3  
GEOG445 |<i> Prerequisite: GEOG345. Credit will be granted for only one of the following: GEOG445 or GEOG446. Formerly GEOG446. </i> Quantitative investigations into the Earth's radiation balance, water cycle, and the interrelationship of climate and vegetation. Methodologies in climate research. Case studies related to global climatic change.| Climatology REG 3  
GEOG473 |<i> Prerequisite: GEOG306 and GEOG373. Credit will be granted for only one of the following: GEOG473 or GEOG482. Formerly GEOG482. </i> Analytical uses of geographic information systems; data models for building geographic data bases; types of geographic data and spatial problems; practical experience using advanced software for thematic domains  such as terrain analysis, land suitability modeling, demographic analysis, and transportation studies. Students must pay a $40.00 lab fee.| |Geographic Information Systems and Spatial Analysis| REG/P-F/AUD 3  
GEOG498  |Topical Investigations| REG/P-F/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG600 |<i> Prerequisite: permission of department. </i> Introduces students to current trends and developments in human geography in the areas of geography as social science, space and place, and human dimensions of global change, and to research procedures in this field.| |Introduction to Human Geography| REG/AUD 3  
GEOG603 |<i> Prerequisite: GEOG 600; and permission of department. Credit will be granted for only one of the following: GEOG 603 or GEOG 610. Formerly GEOG610. </i> Development of Masters scholarly paper topic, critical literature review, formulation of geographical approach to research methodology. Individual meetings with faculty. Comprehensive exam before the end of the semester.| |Masters Research Tutorial| REG/AUD 3  |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG604 |<i> Prerequisite: GEOG 600; and permission of department. Credit will be granted for only one of the following: GEOG 604, GEOG 610D, or GEOG 611. Formerly GEOG611. </i> Development of Doctoral research proposal: critical literature review; formulation of research methodology; data identification and evaluation. Individual meetings with faculty. Doctoral proposal defense before end of semester.| |PhD Research Tutorial| REG/AUD 3  |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG606 |<i> Prerequisite: GEOG 305; or permission of department. Credit will be granted for only one of the following: GEOG 605 or GEOG 606. Formerly GEOG605. </i> Multivariate statistical method applications to spatial problems. Linear and non-linear correlation and regression, factor analysis, cluster analysis. Spatial statistics including: trend surfaces, sequences, point distributions. Applications orientation. Students must pay a $40.00 lab fee.| |Quantitative Spatial Analysis| REG/AUD 3  
GEOG614 |The intersection of human and biophysical systems from the vantage point of the impact of human actions on the environment are examined. The impact of the biophysical environment on humans is also discussed.| |Human Dimensions of Global Change| REG/AUD 3  
GEOG671 |<i> Prerequisite: GEOG472 or equivalent; or permission of department. </i> Detailed examination of land remote sensing instruments, observatories and resultant measurements in the optical portion of the EM spectrum. Includes computer-based exercises that examine the importance of data geo-registration and radiometric calibration in land measurements.| |Remote Sensing Instruments and Observtions| REG/AUD 3  
GEOG676 |<i> Prerequisite: GEOG306 or equivalent and GEOG373 or equivalent. </i> An introduction to programming for geography. Introduces the concepts of  computer programming as applied to geography and geographic information  systems. Implementation language is Visual Basic.| |Programming for GIS| REG/AUD 3  
GEOG788 |Repeatable to 6 credits if content differs.| |Selected Topics in Geography| REG 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG789 |Repeatable to 6 credits if content differs.| |Independent Readings| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG790 |Field experience in the student's specialty in a Federal, state, or local agency or private business. Research paper required.| |Internship in Geography| REG/AUD 3  |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG799  |Master's Thesis Research| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG898  |Pre-Candidacy Research| REG 1-8 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOG899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOL100 |<i> CORE Distributive Studies Physical Science Laboratory Course only when taken concurrently with GEOL 110. Credit will be granted for only one of the following: GEOL100 or GEOL120. </i> A general survey of the rocks and minerals composing the earth, its surface features and the agents that form them, and the dynamic forces of plate tectonics.| |Physical Geology| REG/P-F/AUD 3  
GEOL102 |<i> Prerequisite: GEOL100 or GEOL120, and GEOL110 or permission of department. In addition, non-degree seeking students require the permission of the instructor. </i> Earth's history as revealed through the principles of stratigraphy and the processes of physical geology. Emphasis on formations and geologic development of the North American continent.| |Historical Geology| REG/P-F/AUD 4  
GEOL110 |<i> CORE Distributive Studies Physical Science Laboratory Course only when taken concurrently with GEOL 100. Pre- or corequisite: GEOL100 or GEOL120. </i> The basic materials and tools of physical geology stressing familiarization with rocks and minerals and the use of maps in geologic interpretations. Students must pay a $50.00 lab materials fee.| |Physical Geology Laboratory| REG/P-F 1  
GEOL120 |<i> Credit will be granted for only one of the following: GEOL100 or GEOL120. </i> A review of geologic factors underlying many environmental problems and the interactions between population and physical environment: geologic hazards, land-use planning, conservation, mineral resources, waste disposal, land reclamation, and the geologic aspects of health and disease. The course is aimed at lower division students in education and liberal arts, and should be useful to any student concerned with geologic perspectives of environmental problems.| |Environmental Geology| REG/P-F/AUD 3  |CORE Physical Science (PS) Course.|
GEOL123 |<i> Also offered as AOSC123 and GEOG123. Credit will be granted for only one of the following: AOSC123, GEOG123, GEOL123, or METO123. </i> This course offers a unique experience in integrating physical, chemical, geologic, and biological sciences with geographical, economic, sociological and political knowledge skills toward a better understanding of global change. Review of environmental science relating to weather and climate change, acid precipitation, ozone holes, global warming, and impacts on biology, agriculture, and human behavior. Study of the natural, long-term variability of the global environment, and what influence mankind may have in perturbing it from its natural evolution. Concepts of how physical, biological, and human behavioral systems interact, and the repercussions which may follow from human endeavors. The manner in which to approach decision and policy making related to issues of global change.| |Causes and Implications of Global Change| REG/P-F/AUD 3  |CORE Physical Science (PS) Course.|
GEOL310 |<i> Prerequisite: MATH110, CHEM131, and GEOL100; or permission of department. In addition, non-degree-seeking students require the permission of the instructor. </i> An introduction to the fundamentals of forensic science with special reference to the application of geological techniques, and to the applications of Earth science in understanding problems in homeland security and hazardous materials response.| |Forensic Geology and Homeland Security| REG/P-F/AUD 3  
GEOL322 |<i> Prerequisites: GEOL100 or GEOL120, GEOL110; and one of the following: {CHEM131 and CHEM132}, {CHEM135 and CHEM136}; or CHEM103. In addition, non-degree-seeking students require the permission of the instructor. </i> Basic mineralogy for geology majors. The principles of morphologic crystallography, crystal chemistry, and determinative mineralogy.| Mineralogy REG/P-F/AUD 4  
GEOL340 |<i> Two Saturday field trips. Prerequisite: GEOL100 or GEOL120. In addition, non-degree-seeking students require the permission of the instructor. </i> Analysis of landforms, organized on the basis of the geologic processes that have operated during the late Cenozoic. Constructional and erosional landforms related to physical systems operating on geologic structures through time.| Geomorphology REG/P-F/AUD 4  
GEOL342 |<i> Prerequisite: GEOL100 or GEOL120; GEOL110; and GEOL322; and one of the following: CHEM103, {CHEM131 and CHEM132} or {CHEM135 and CHEM136}. In addition, non-degree-seeking students require the permission of the instructor. </i> Description, origin, and distribution of sediments and sedimentary rocks. Two mandatory weekend field trips.| |Sedimentation and Stratigraphy| REG/P-F 4  
GEOL386 |<i> Prerequisite: permission of department. Junior standing. </i>| |Experiential Learning| REG/P-F 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOL393 |<i> Prerequisites: For GEOL majors only; minimum of junior standing; MATH141, CHEM131 or CHEM135, CHEM132 or CHEM136, PHYS141, and at least two upper level geology courses with a third concurrent. In addition, non-degree-seeking students require the permission of the instructor. </i> Planning, writing and presenting a plan for research in the geosciences.| |Technical Writing for Geoscientists| REG 3  
GEOL393H |<i> Prerequisites: For GEOL majors only; minimum of junior standing; MATH141, CHEM131 or CHEM135, CHEM132 or CHEM136, PHYS141, and at least two upper level geology courses with a third concurrent. In addition, non-degree-seeking students require the permission of the instructor. </i>| |Technical Writing for Geoscientists| REG/P-F/AUD 3  
GEOL437 |<i> Prerequisite: MATH115 or MATH140; GEOL100 or GEOL120, and one of the following: {CHEM131 and CHEM132}, {CHEM135 and CHEM136}, or CHEM103. In addition, non-degree-seeking students require the permission of the instructor. </i> The goal of the course is to highlight the fact that global climate change is part of the Earth's past as well as of its present and future. Changes in climate that have occurred in the geologic past can be viewed as the Earth's natural climate variability.  These changes are different from, though could be linked with, historical and present anthropogenically-induced climate change.  We will discuss the modern climate system, the factors capable of forcing climate change on various time scales, the geologic proxies of past climate change and what these proxies tell us.  Finally, we will compare and contrast past climate change with what is understood (and not understood) about modern climate change.| |Global Climate Change: Past and Present| REG/P-F/AUD 3  
GEOL443 |<i> Prerequisites: GEOL100 or GEOL120, GEOL110, and GEOL322, and one of the following: {CHEM131 and CHEM132}, {CHEM135 and CHEM136}, or CHEM103. Corequisite: GEOL423 or permission of department. In addition, non-degree-seeking students require the permission of the instructor. </i> Study of igneous and metamorphic rocks: petrogenesis, distributions, chemical and mineralogical relations, macroscopic and microscopic descriptions, geologic significance.| Petrology REG/P-F/AUD 4  
GEOL451 |<i> Prerequisites: MATH140, GEOL100 or GEOL120, GEOL110 and one of the following: {CHEM131 and CHEM132}, {CHEM135 and CHEM136}, or CHEM103; or permission of department. In addition, non-degree-seeking students require the permission of the instructor. Junior standing. </i> An introduction to the basic geologic parameters associated with the hydrologic cycle. Problems in the accumulation, distribution, and movement of groundwater will be analyzed.| Groundwater REG/P-F/AUD 3  
GEOL455 |<i> Prerequisite: GEOL100 or GEOL120, MATH140, MATH141; or permission of department. In addition, non-degree-seeking students require the permission of the instructor. Credit will be granted for only one of the following: GEOL455 or GEOL489E. Formerly GEOL489E. </i> Plate tectonics, earthquakes and faulting, isostasy and gravity, heat and mantle dynamics, ocean ridges and transform faults, hydrothermal vents, trenches and oceanic islands, subduction zones, accretionary and erosion wedges, sedimentary basins and continental rifts. Exploration of the oceans using geophysical methods.| |Marine Geophysics| REG/P-F/AUD 3  
GEOL457 |<i> Prerequisite: GEOL100 or GEOL120, GEOL110, MATH140, MATH141; or permission of department. Recommended: PHYS141, PHYS161, or PHYS171. In addition, non-degree-seeking students require the permission of the instructor. Credit will be granted for only one of the following: GEOL457 or GEOL489A. Formerly GEOL489A. </i> General overview of the basics of seismology, starting with wave propagation, seismic reflection and refraction. Applications to the determination of the seismic velocity and anisotropy structure of the Earth. Earthquake generation, postseismic deformation and creep events, relation to faulting and plate tectonics.| Seismology REG/P-F/AUD 3  
GEOL497H |<i> Restricted to Geology majors with a GPA of 3.0 or better in both overall and in all courses required for the major. Prerequisite: Junior standing and a minimum of 2 upper level GEOL courses with at least a third GEOL course; and GEOL393 concurrent. Credit will be granted for only one of the following: GEOL497 or GEOL489H. Formerly GEOL489H. </i>| |Recent Advances: Geology| REG/P-F/AUD 3  
GEOL499 |Prerequisites: GEOL100 or GEO120, GEOL110, GEOL102; or equivalent; and permission of department. In addition, non-degree-seeking students require the permission of the instructor. Intensive study of a special geologic subject or technique selected after consultation with instructor. Intended to provide training or instruction not available in other courses which will aid the student's development in his or her field of major interest.| |Special Problems in Geology| REG/P-F/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOL643 |<i> Prerequisite: GEOL443. In addition, non-degree-seeking students require the permission of the instructor. Credit will be granted for only one of the following: GEOL643 and GEOL789P. Formerly GEOL789P. </i> Study of igneous and metamorphic rocks; environments, conditions and processes of metamorphism and of melting and crystallization.| |Igneous and Metamorphic Petrology| REG/AUD 3  
GEOL654 |<i> Recommended: GEOL340 and GEOL452. In addition, non-degree-seeking students require the permission of the instructor. Credit will be granted for only one of the following: GEOL654 or GEOL789B. Formerly GEOL789B. </i> Fluvial geomorphology is the study of the movement of water and sedimentin stream channels. This includes: formation of channels, open channel hydraulics, sediment transport or bedload and suspended load, river morphology and landscape evolution. The course is designed for graduate students and advanced undergraduates.| |Fluvial Geomorphology Seminar| REG/AUD 3  
GEOL655 |<i> Prerequisite: permission of department. Recommended: (GEOL100 or GEOL120) and MATH141. In addition, non-degree-seeking students require the permission of the department. Credit will be granted for only one of the following: GEOL672 or GEOL789E. Formerly GEOL789E. </i> An introduction to geophysical aspects of global tectonics. Quantitative geophysical approached are introduced for: past and present plate motions, seismology and interior of the Earth, gravity and isostasy, heat and mantle dynamics. Ocean ridges, hydrothermal vents, transform faults, oceanic core complex, ocean trenches and subduction zones, accretionary anderosion wedges, rift and rift margins, convergence and collisons, sedimentary basins.| |Marine Geophysics| REG/AUD 3  
